iter	Passed	Remaining
0	0	75
1	1	77
2	2	83
3	4	115
4	5	105
5	6	97
6	6	90
7	7	85
8	8	81
9	8	78
10	9	74
11	9	72
12	10	69
13	11	67
14	11	65
15	12	63
16	12	62
17	13	62
18	14	63
19	17	70
20	18	69
21	19	68
22	20	68
23	21	67
24	22	66
25	22	64
26	23	64
27	24	63
28	25	61
29	25	60
30	26	58
31	26	57
32	27	56
33	28	54
34	29	53
35	31	56
36	32	55
37	33	54
38	34	53
39	35	52
40	35	51
41	36	50
42	36	49
43	37	47
44	38	46
45	38	45
46	39	44
47	40	43
48	40	42
49	41	41
50	42	40
51	43	39
52	43	38
53	45	38
54	48	39
55	48	38
56	49	37
57	50	36
58	51	35
59	51	34
60	52	33
61	53	32
62	53	31
63	54	30
64	55	29
65	55	28
66	56	27
67	57	26
68	57	25
69	58	24
70	58	24
71	59	23
72	62	22
73	65	22
74	66	22
75	68	21
76	68	20
77	69	19
78	69	18
79	70	17
80	70	16
81	71	15
82	72	14
83	72	13
84	73	12
85	77	12
86	78	11
87	79	10
88	80	9
89	80	8
90	81	8
91	81	7
92	82	6
93	83	5
94	83	4
95	84	3
96	84	2
97	85	1
98	86	0
99	86	0
