iter	Passed	Remaining
0	49	49125
1	49	24852
2	50	16860
3	51	12891
4	52	10481
5	53	8864
6	54	7737
7	55	6894
8	56	6257
9	58	5747
10	59	5308
11	60	4942
12	61	4641
13	61	4365
14	63	4185
15	64	3961
16	65	3765
17	65	3597
18	66	3452
19	67	3328
20	68	3209
21	69	3110
22	71	3018
23	72	2942
24	73	2879
25	74	2802
26	75	2724
27	76	2648
28	76	2575
29	78	2527
30	78	2463
31	79	2403
32	80	2351
33	82	2332
34	82	2283
35	83	2245
36	84	2207
37	85	2167
38	86	2130
39	87	2094
40	88	2063
41	88	2028
42	89	1993
43	90	1959
44	90	1929
45	91	1898
46	92	1872
47	93	1844
48	93	1819
49	94	1793
50	95	1769
51	96	1753
52	96	1731
53	98	1717
54	99	1713
55	100	1700
56	101	1684
57	102	1664
58	103	1649
59	104	1631
60	104	1614
61	105	1596
62	106	1578
63	106	1560
64	107	1543
65	107	1527
66	108	1511
67	109	1500
68	110	1490
69	111	1482
70	112	1471
71	113	1460
72	114	1452
73	116	1459
74	117	1451
75	118	1439
76	119	1427
77	119	1417
78	120	1406
79	121	1396
80	122	1387
81	123	1386
82	124	1372
83	125	1364
84	125	1354
85	127	1351
86	128	1344
87	128	1336
88	129	1329
89	130	1323
90	131	1317
91	132	1308
92	133	1302
93	134	1297
94	136	1297
95	137	1293
96	138	1285
97	138	1279
98	139	1273
99	141	1273
100	142	1267
101	144	1274
102	146	1273
103	147	1271
104	148	1268
105	150	1265
106	163	1363
107	168	1389
108	169	1385
109	170	1379
110	171	1376
111	174	1387
112	176	1382
113	180	1405
114	182	1403
115	183	1397
116	184	1389
117	186	1397
118	187	1390
119	188	1384
120	189	1379
121	190	1372
122	193	1376
123	194	1373
124	195	1369
125	196	1364
126	197	1356
127	198	1349
128	205	1384
129	205	1378
130	206	1371
131	207	1365
132	208	1357
133	208	1349
134	209	1341
135	210	1334
136	210	1326
137	211	1318
138	211	1311
139	212	1303
140	212	1295
141	212	1286
142	213	1279
143	214	1272
144	214	1265
145	215	1257
146	215	1250
147	216	1244
148	217	1239
149	218	1236
150	219	1234
151	220	1231
152	221	1228
153	222	1224
154	223	1220
155	224	1217
156	225	1212
157	226	1207
158	227	1201
159	227	1195
160	228	1188
161	228	1182
162	229	1177
163	230	1175
164	231	1170
165	232	1166
166	233	1165
167	235	1166
168	237	1165
169	238	1163
170	239	1159
171	240	1155
172	240	1151
173	241	1148
174	242	1143
175	243	1138
176	246	1147
177	247	1144
178	249	1144
179	252	1150
180	253	1147
181	258	1160
182	258	1155
183	259	1150
184	263	1160
185	266	1165
186	269	1171
187	271	1172
188	272	1168
189	273	1164
190	273	1159
191	274	1154
192	275	1150
193	275	1145
194	276	1141
195	277	1139
196	278	1135
197	279	1133
198	281	1134
199	282	1131
200	283	1128
201	284	1125
202	285	1122
203	286	1118
204	287	1115
205	288	1111
206	289	1108
207	290	1104
208	291	1102
209	292	1100
210	293	1098
211	295	1099
212	297	1100
213	298	1097
214	299	1094
215	300	1090
216	301	1087
217	302	1083
218	302	1079
219	303	1076
220	304	1073
221	305	1071
222	306	1069
223	308	1068
224	309	1065
225	312	1068
226	313	1068
227	315	1067
228	316	1066
229	317	1064
230	318	1061
231	320	1059
232	322	1062
233	324	1061
234	325	1060
235	327	1060
236	328	1057
237	329	1054
238	330	1050
239	330	1047
240	331	1043
241	332	1039
242	332	1036
243	333	1032
244	334	1029
245	335	1027
246	336	1024
247	337	1022
248	339	1023
249	341	1023
250	341	1019
251	342	1016
252	343	1013
253	343	1009
254	344	1006
255	345	1003
256	346	1001
257	347	999
258	348	996
259	349	993
260	349	990
261	350	988
262	351	985
263	352	983
264	353	980
265	354	978
266	356	979
267	357	976
268	358	974
269	364	984
270	365	983
271	367	982
272	368	980
273	369	978
274	373	983
275	373	980
276	374	977
277	375	974
278	375	971
279	376	968
280	377	964
281	377	961
282	379	962
283	381	962
284	382	959
285	383	957
286	384	955
287	386	954
288	387	953
289	388	952
290	393	959
291	394	956
292	395	954
293	396	951
294	397	950
295	398	948
296	399	946
297	400	944
298	401	941
299	402	938
300	402	935
301	403	933
302	404	930
303	408	934
304	409	932
305	415	943
306	416	941
307	417	938
308	418	935
309	419	933
310	419	930
311	420	927
312	421	924
313	421	921
314	422	918
315	423	916
316	424	914
317	425	912
318	426	910
319	427	908
320	428	906
321	429	904
322	430	901
323	430	898
324	431	896
325	432	893
326	433	891
327	433	888
328	434	885
329	434	883
330	435	880
331	436	877
332	437	875
333	437	873
334	438	871
335	439	868
336	440	867
337	441	865
338	442	863
339	443	861
340	444	859
341	445	857
342	446	855
343	447	852
344	447	850
345	448	847
346	449	845
347	449	842
348	450	840
349	451	837
350	451	835
351	452	833
352	453	831
353	454	829
354	455	827
355	456	825
356	457	823
357	458	821
358	458	819
359	459	817
360	460	814
361	460	812
362	461	809
363	462	807
364	462	805
365	463	802
366	464	800
367	464	798
368	465	796
369	466	794
370	467	793
371	468	791
372	469	789
373	470	787
374	471	785
375	472	784
376	473	782
377	474	780
378	475	779
379	476	777
380	477	775
381	478	773
382	478	771
383	479	769
384	480	767
385	481	765
386	482	763
387	483	761
